id,sex,year,yearborn,age,cohort,offspring,breedingsuccess,weight,morph,indhet,pesL,pesR,headlength,parentgensim,paternity,maternity
180F7,F,2018,2015,3,MtR transf 2016,0,0,NA,Fawn,0.338,NA,NA,NA,NA,MtRInd,MtRInd
180F7,F,2019,2015,4,MtR transf 2016,0,0,NA,Fawn,0.338,NA,NA,NA,NA,MtRInd,MtRInd
180F7,F,2020,2015,5,MtR transf 2016,1,1,NA,Fawn,0.338,NA,NA,NA,NA,MtRInd,MtRInd
181C5,F,2016,2015,1,Geeveston,0,0,0.801,Fawn,0.293,55.7,53.7,87.9,NA,TasInd,TasInd
181C5,F,2017,2015,2,Geeveston,0,0,NA,Fawn,0.293,NA,NA,NA,NA,TasInd,TasInd
181C5,F,2018,2015,3,Geeveston,0,0,NA,Fawn,0.293,NA,NA,NA,NA,TasInd,TasInd
181C5,F,2019,2015,4,Geeveston,0,0,NA,Fawn,0.293,NA,NA,NA,NA,TasInd,TasInd
181C5,F,2020,2015,5,Geeveston,0,0,NA,Fawn,0.293,NA,NA,NA,NA,TasInd,TasInd
1BEFa,F,2017,2016,1,MtR transf 2017,2,1,NA,Fawn,0.331,54.75,54.15,91.5,NA,MtRInd,MtRInd
1BEFa,F,2018,2016,2,MtR transf 2017,0,0,0.995,Fawn,0.331,54.01,53.8,96.04,NA,MtRInd,MtRInd
1BEFa,F,2019,2016,3,MtR transf 2017,0,0,NA,Fawn,0.331,NA,NA,NA,NA,MtRInd,MtRInd
1BEFa,F,2020,2016,4,MtR transf 2017,0,0,NA,Fawn,0.331,NA,NA,NA,NA,MtRInd,MtRInd
39DE4,F,2020,2019,1,MFWS,0,0,0.715,Black,0.333,53.06666667,52.93333333,87,0.296275072,3B6DE,84143
3B6DE,M,2019,2018,1,MFWS,1,1,0.982,Black,0.36,59.27333333,59.86666667,91.44333333,0.275071633,BBC6C,D849
3B6DE,M,2020,2018,2,MFWS,0,0,NA,Black,0.36,NA,NA,NA,0.275071633,BBC6C,D849
3B9C5,M,2018,2017,1,MFWS,0,0,0.848,Fawn,0.288,57.385,56.42,90.695,NA,8,0DDE1
3B9C5,M,2019,2017,2,MFWS,0,0,NA,Fawn,0.288,NA,NA,NA,NA,8,0DDE1
3B9C5,M,2020,2017,3,MFWS,0,0,NA,Fawn,0.288,NA,NA,NA,NA,8,0DDE1
7AE21,M,2020,2019,1,MFWS,0,0,0.68,Black,0.243,54.2,53.9,88.7,0.253581662,C062B,7C5C5
