id,pop,Born,Origin,Resides,SEX,Morph,Litter
BDDFC,MFWS,2017,MFWS,MFWS,M,Fawn,unknown
BF9FC,Russell Falls,2016,Russell Falls,MFWS,F,Fawn,unknown
C062B,MFWS,2017,MFWS,MFWS,M,Black,unknown
C1291,MFWS,2016,MFWS,MFWS,M,NA,unknown
C682,MtR,2016,MtR transf 2017,MFWS,F,Fawn,unknown
C7B9D,MtR,2019,MtR transf 2020,MFWS,F,Black,unknown
CD453,MFWS,2017,MFWS,MFWS,F,Black,litter e
D0E214,MFWS,2017,MFWS,MFWS,F,Black,unknown
D0E314,MFWS,2019,MFWS,MFWS,M,Fawn,unknown
D24E52,MtR,N/A,MtR,MtR,F,NA,unknown
D849,MtR,2016,MtR transf 2017,MtR,F,Black,unknown
E783F,MtR,N/A,MtR,MtR,M,NA,unknown
E78F7,MtR,2015,MtR transf 2016,MFWS,F,NA,unknown
E8FC0,MtR,2015,MtR transf 2016,MFWS,F,Fawn,unknown
E90FC,MtR,2015,MtR transf 2016,MFWS,M,NA,unknown
E91DB,MtR,2015,MtR transf 2016,MFWS,M,Black,unknown
F1041,MFWS,2016,MFWS,MFWS,M,Black,unknown
F1a,MFWS,2016,MFWS,MFWS,F,Fawn,unknown
F1b,MFWS,2016,MFWS,MFWS,M,Black,unknown
F36F0,MFWS,2016,MFWS,MFWS,M,NA,unknown
F5B5E,MFWS,2017,MFWS,MFWS,M,Black,litter c
FC07B,MFWS,2016,MFWS,MFWS,M,NA,unknown
FC42B,MFWS,2016,MFWS,MFWS,M,Fawn,unknown
FD3E9,MFWS,2017,MFWS,MFWS,F,Black,unknown
FD4E9,MFWS,2017,MFWS,MFWS,M,Fawn,unknown
FD536,Nabowla,2018,Nabowla,MFWS,F,Fawn,unknown
FD54D,MFWS,2017,MFWS,MFWS,F,Black,unknown
FD5C1,MFWS,2017,MFWS,MFWS,M,Fawn,litter d
FD6C1,Grove,2016,Grove,MFWS,F,Black,unknown
FD705,MFWS,2017,MFWS,MFWS,M,Fawn,unknown
FD716,MFWS,2017,MFWS,MFWS,F,Fawn,unknown
FD7B0,MFWS,2020,MFWS,MFWS,M,Black,unknown
FD895,MFWS,2018,MFWS,MFWS,F,Fawn,unknown
FD897,Geeveston,2016,Geeveston,MFWS,F,Fawn,unknown
FD8C7,MFWS,2017,MFWS,MFWS,F,Fawn,unknown
FD912,MFWS,2016,MFWS,MFWS,F,Fawn,unknown
FD9EBa,Lonnavale,2016,Lonnavale,MFWS,F,Black,unknown
FDA82,MFWS,2017,MFWS,MFWS,M,Black,litter c
FDB15,MFWS,2020,MFWS,MFWS,M,Black,unknown
FDB53,MFWS,2020,MFWS,MFWS,M,Black,unknown
FDBDD,MFWS,2017,MFWS,MFWS,F,Black,unknown
FDC0D,MFWS,2017,MFWS,MFWS,M,Black,unknown
FECC6,MFWS,2018,MFWS,MFWS,F,Fawn,unknown
FF0C7,Mountain River,2014,Mountain River,MFWS,F,Fawn,unknown
FF2F4,Lonnavale,2014,Lonnavale,MFWS,M,Black,unknown
FF4EF,MtR,2015,MtR transf 2016,MFWS,F,Fawn,unknown
FF6FE,MFWS,2018,MFWS,MFWS,F,Fawn,unknown
